date,s07,prior,together
2023-03-31,1585.0,1345.0,2930.0
2023-04-03,-560.0,-720.0,-1280.0
2023-04-04,920.0,75.0,995.0
2023-04-17,790.0,-1830.0,-1040.0
2023-04-18,1605.0,-555.0,1050.0
2023-04-19,770.0,-875.0,-105.0
2023-04-20,565.0,640.0,1205.0
2023-04-21,100.0,-455.0,-355.0
2023-04-24,1205.0,1725.0,2930.0
2023-04-25,-1325.0,885.0,-440.0
2023-04-26,-1225.0,-875.0,-2100.0
2023-04-27,-2365.0,-1835.0,-4200.0
2023-04-28,-275.0,-10.0,-285.0
2023-05-01,685.0,-495.0,190.0
2023-05-02,3345.0,-720.0,2625.0
2023-05-03,-355.0,-1525.0,-1880.0
2023-05-04,-390.0,-765.0,-1155.0
2023-05-05,2345.0,0.0,2345.0
2023-05-08,-210.0,-790.0,-1000.0
2023-05-09,-240.0,0.0,-240.0
2023-05-10,-525.0,10.0,-515.0
2023-05-11,-925.0,720.0,-205.0
2023-05-12,-2080.0,-1005.0,-3085.0
2023-05-15,-345.0,-140.0,-485.0
2023-05-16,1095.0,530.0,1625.0
2023-05-17,30.0,-855.0,-825.0
2023-05-18,2900.0,2370.0,5270.0
2023-05-19,1120.0,-950.0,170.0
2023-05-22,960.0,-370.0,590.0
2023-05-23,45.0,-75.0,-30.0
2023-05-24,310.0,-445.0,-135.0
2023-05-25,-1110.0,-735.0,-1845.0
2023-05-26,4685.0,705.0,5390.0
2023-05-30,825.0,1140.0,1965.0
2023-05-31,-1615.0,-1905.0,-3520.0
2023-06-01,-1975.0,2745.0,770.0
2023-06-02,-140.0,-325.0,-465.0
2023-06-05,1750.0,1395.0,3145.0
2023-06-06,-855.0,-865.0,-1720.0
2023-06-07,-3060.0,0.0,-3060.0
2023-06-08,2600.0,-2245.0,355.0
2023-06-09,-935.0,1065.0,130.0
2023-06-12,-850.0,-830.0,-1680.0
2023-06-13,90.0,145.0,235.0
2023-06-14,-2495.0,685.0,-1810.0
2023-06-15,-3080.0,1125.0,-1955.0
2023-06-16,1210.0,440.0,1650.0
2023-06-20,-1475.0,-1970.0,-3445.0
2023-06-21,-3070.0,0.0,-3070.0
2023-06-22,2210.0,475.0,2685.0
2023-06-23,-965.0,-900.0,-1865.0
2023-06-26,200.0,3395.0,3595.0
2023-06-27,-1620.0,0.0,-1620.0
2023-06-28,2300.0,2785.0,5085.0
2023-06-29,105.0,-1390.0,-1285.0
2023-06-30,1300.0,150.0,1450.0
2023-07-03,-960.0,-835.0,-1795.0
2023-07-05,700.0,195.0,895.0
2023-07-06,825.0,720.0,1545.0
2023-07-07,325.0,-1095.0,-770.0
2023-07-10,-690.0,-160.0,-850.0
2023-07-11,270.0,1040.0,1310.0
2023-07-12,-690.0,-1280.0,-1970.0
2023-07-13,220.0,1245.0,1465.0
2023-07-14,1055.0,655.0,1710.0
2023-07-17,580.0,1140.0,1720.0
2023-07-18,-85.0,1925.0,1840.0
2023-07-19,-570.0,-870.0,-1440.0
2023-07-20,-2415.0,-1900.0,-4315.0
2023-07-21,725.0,1560.0,2285.0
2023-07-24,-1015.0,-1225.0,-2240.0
2023-07-25,765.0,305.0,1070.0
2023-07-26,700.0,525.0,1225.0
2023-07-27,-360.0,-1635.0,-1995.0
2023-07-28,-2800.0,0.0,-2800.0
2023-07-31,-1280.0,-225.0,-1505.0
2023-08-01,-780.0,-1125.0,-1905.0
2023-08-02,2935.0,3075.0,6010.0
2023-08-03,1315.0,0.0,1315.0
2023-08-04,105.0,-2075.0,-1970.0
2023-08-07,1725.0,-1670.0,55.0
2023-08-08,2050.0,-820.0,1230.0
2023-08-09,3225.0,-1375.0,1850.0
2023-08-10,30.0,-3350.0,-3320.0
2023-08-11,165.0,-70.0,95.0
2023-08-14,-3270.0,2570.0,-700.0
2023-08-15,-1385.0,-560.0,-1945.0
2023-08-16,-545.0,-970.0,-1515.0
2023-08-17,2460.0,-750.0,1710.0
2023-08-18,375.0,395.0,770.0
2023-08-21,160.0,-1655.0,-1495.0
2023-08-22,790.0,-585.0,205.0
2023-08-23,-3560.0,3600.0,40.0
2023-08-24,5575.0,5375.0,10950.0
2023-08-25,-1890.0,2185.0,295.0
2023-08-28,835.0,-740.0,95.0
2023-08-29,5300.0,1630.0,6930.0
2023-08-30,540.0,555.0,1095.0
2023-08-31,610.0,450.0,1060.0
2023-09-01,2445.0,1500.0,3945.0
2023-09-05,-1260.0,-295.0,-1555.0
2023-09-06,1975.0,1185.0,3160.0
2023-09-07,-1455.0,300.0,-1155.0
2023-09-08,700.0,420.0,1120.0
2023-09-11,-830.0,280.0,-550.0
2023-09-12,-1240.0,-1255.0,-2495.0
2023-09-13,950.0,265.0,1215.0
2023-09-14,-955.0,-660.0,-1615.0
2023-09-15,3090.0,1460.0,4550.0
2023-09-18,1280.0,585.0,1865.0
2023-09-19,1030.0,-360.0,670.0
2023-09-20,805.0,1485.0,2290.0
2023-09-21,-1065.0,-575.0,-1640.0
2023-09-22,-1765.0,-1690.0,-3455.0
2023-09-25,-2135.0,-1855.0,-3990.0
2023-09-26,1360.0,1760.0,3120.0
2023-09-27,575.0,640.0,1215.0
2023-09-28,-3450.0,-1105.0,-4555.0
2023-09-29,715.0,-1555.0,-840.0
2023-10-02,2800.0,-1160.0,1640.0
2023-10-03,-3450.0,-4685.0,-8135.0
2023-10-04,1100.0,1395.0,2495.0
2023-10-05,2985.0,-335.0,2650.0
2023-10-06,3145.0,4375.0,7520.0
2023-10-09,-1065.0,-165.0,-1230.0
2023-10-10,3050.0,0.0,3050.0
2023-10-11,-1035.0,600.0,-435.0
2023-10-12,455.0,980.0,1435.0
2023-10-13,3535.0,-3330.0,205.0
2023-10-16,1905.0,1100.0,3005.0
2023-10-17,-2295.0,-2580.0,-4875.0
2023-10-18,-175.0,-250.0,-425.0
2023-10-19,-1975.0,70.0,-1905.0
2023-10-20,3075.0,-3105.0,-30.0
2023-10-23,-2800.0,-2790.0,-5590.0
2023-10-24,-510.0,-2075.0,-2585.0
2023-10-25,1125.0,1180.0,2305.0
2023-10-26,-3405.0,2210.0,-1195.0
2023-10-27,685.0,1205.0,1890.0
2023-10-30,-550.0,-595.0,-1145.0
2023-10-31,80.0,-110.0,-30.0
2023-11-01,920.0,55.0,975.0
2023-11-02,-450.0,360.0,-90.0
2023-11-03,1140.0,-195.0,945.0
2023-11-06,-25.0,-465.0,-490.0
2023-11-07,2400.0,-2810.0,-410.0
2023-11-08,-895.0,-915.0,-1810.0
2023-11-09,-410.0,-890.0,-1300.0
2023-11-10,2220.0,-2435.0,-215.0
2023-11-13,530.0,-1755.0,-1225.0
2023-11-14,-985.0,70.0,-915.0
2023-11-15,-65.0,780.0,715.0
2023-11-16,165.0,35.0,200.0
2023-11-17,295.0,-345.0,-50.0
2023-11-20,1320.0,-65.0,1255.0
2023-11-21,1000.0,-345.0,655.0
2023-11-22,-960.0,-615.0,-1575.0
2023-11-24,-710.0,185.0,-525.0
2023-11-27,-610.0,460.0,-150.0
2023-11-28,1345.0,1625.0,2970.0
2023-11-29,-2850.0,-500.0,-3350.0
2023-11-30,-3000.0,-1630.0,-4630.0
2023-12-01,-900.0,-1825.0,-2725.0
2023-12-04,1475.0,2045.0,3520.0
2023-12-05,1770.0,1805.0,3575.0
2023-12-06,2030.0,1725.0,3755.0
2023-12-07,730.0,1195.0,1925.0
2023-12-08,1510.0,765.0,2275.0
2023-12-11,-1305.0,-295.0,-1600.0
2023-12-12,-1345.0,425.0,-920.0
2023-12-13,-270.0,-325.0,-595.0
2023-12-14,-1475.0,-1875.0,-3350.0
2023-12-15,1510.0,300.0,1810.0
2023-12-18,815.0,855.0,1670.0
2023-12-19,360.0,-320.0,40.0
2023-12-20,885.0,500.0,1385.0
2023-12-21,825.0,520.0,1345.0
2023-12-22,-65.0,-105.0,-170.0
2023-12-26,-560.0,-150.0,-710.0
2023-12-27,465.0,495.0,960.0
2023-12-28,540.0,180.0,720.0
2023-12-29,-3055.0,-2610.0,-5665.0
2024-01-02,-1980.0,-310.0,-2290.0
2024-01-03,-40.0,430.0,390.0
2024-01-04,1260.0,1765.0,3025.0
2024-01-05,1275.0,-1020.0,255.0
2024-01-08,2290.0,1350.0,3640.0
2024-01-09,1625.0,2615.0,4240.0
2024-01-10,-15.0,375.0,360.0
2024-01-11,-3850.0,-4175.0,-8025.0
2024-01-12,20.0,-205.0,-185.0
2024-01-16,1645.0,-110.0,1535.0
2024-01-17,-980.0,-1810.0,-2790.0
2024-01-18,1235.0,950.0,2185.0
2024-01-19,-1620.0,-295.0,-1915.0
2024-01-22,-1240.0,-430.0,-1670.0
2024-01-23,-265.0,480.0,215.0
2024-01-24,-720.0,695.0,-25.0
2024-01-25,-490.0,-375.0,-865.0
2024-01-26,1185.0,-1305.0,-120.0
2024-01-29,-440.0,-750.0,-1190.0
2024-01-30,-555.0,-885.0,-1440.0
2024-01-31,-1360.0,-1085.0,-2445.0
