instrument,minute,horizon,stop,trades,net_total,net_mean,net_median,win,candles_mean,mean_2006-2012,n_2006-2012,mean_2013-2019,n_2013-2019,mean_2020-2026,n_2020-2026,recent_total,recent_without_best_5pct,recent_max_dd,recent_years_positive,recent_years
ES,6,60,10.0,5027,-131297.5,-26.118460314302766,-30.0,0.4569325641535707,0.1971578448613619,-25.36549707602339,1710,-24.168096054888508,1749,-29.115114795918366,1568,-45652.5,-204350.0,60562.5,2,7
ES,6,120,0.0,5017,-21010.0,-4.187761610524218,-5.0,0.48853896751046444,0.6118135449276519,-7.872215709261431,1706,-2.27545766590389,1748,-2.3048624440179144,1563,-3602.5,-211437.5,33570.0,2,7
ES,6,120,2.0,5036,-175005.0,-34.75079428117554,-92.5,0.12490071485305798,-0.056283363096028764,-32.80448717948718,1716,-33.126784694460305,1751,-38.691841937539834,1569,-60707.5,-209955.0,61747.5,1,7
ES,6,120,4.0,5029,-100395.0,-19.963213362497516,-130.0,0.25074567508450984,0.15747055043920688,-29.576271186440678,1711,-28.557142857142857,1750,0.11798469387755102,1568,185.0,-194812.5,21355.0,3,7
ES,6,120,6.0,5026,-89980.0,-17.90290489454835,-180.0,0.33903700756068444,0.24260584855450246,-25.387426900584796,1710,-26.176386506575184,1749,-0.5009572431397575,1567,-785.0,-202620.0,34945.0,2,7
ES,6,120,10.0,5022,-78997.5,-15.730286738351255,-67.5,0.43548387096774194,0.36267330379591395,-20.89379754242247,1709,-16.54891304347826,1748,-9.177316293929712,1565,-14362.5,-220960.0,41730.0,1,7
ES,7,30,0.0,5035,-178787.5,-35.508937437934456,-17.5,0.45302879841112215,0.09580372744224888,-26.636575422248107,1717,-23.15714285714286,1750,-59.009885204081634,1568,-92527.5,-208025.0,97227.5,1,7
ES,7,30,2.0,5040,-196275.0,-38.94345238095238,-80.0,0.2013888888888889,-0.13481309729026075,-33.374054682955204,1719,-31.49200456881782,1751,-53.35191082802548,1570,-83762.5,-182722.5,85475.0,1,7
ES,7,30,4.0,5037,-185060.0,-36.74012308914036,-130.0,0.3450466547548144,-0.018112612844980856,-30.59662398137369,1718,-25.55,1750,-55.948056086679415,1569,-87782.5,-200480.0,90637.5,0,7
ES,7,30,6.0,5037,-177822.5,-35.30325590629343,-67.5,0.410958904109589,0.02660877826703287,-30.15279394644936,1718,-26.314285714285713,1750,-50.96876991714468,1569,-79970.0,-195292.5,87740.0,1,7
ES,7,30,10.0,5036,-179317.5,-35.607128673550434,-30.0,0.44678316123907863,0.0592649833904729,-29.075960419091967,1718,-25.87857142857143,1750,-53.62085459183673,1568,-84077.5,-199575.0,91095.0,1,7
ES,7,60,0.0,5030,-104887.5,-20.85238568588469,-17.5,0.4761431411530815,0.34517051426486944,-18.03269118505546,1713,-16.563750714694113,1749,-28.716517857142858,1568,-45027.5,-204475.0,54415.0,1,7
ES,7,60,2.0,5039,-202957.5,-40.27733677316928,-80.0,0.16153998809287556,-0.13614248925523464,-35.26775320139697,1718,-33.29097658480868,1751,-53.55095541401274,1570,-84075.0,-200285.0,86212.5,1,7
