spine_pos,relative_to_t0,close_utc,open,high,low,close
4556113,-252,2021-01-04 10:19:00+00:00,12946.75,12947.5,12944.5,12944.75
4556114,-251,2021-01-04 10:20:00+00:00,12944.75,12945.5,12938.0,12940.25
4556115,-250,2021-01-04 10:21:00+00:00,12940.0,12942.75,12940.0,12941.25
4556116,-249,2021-01-04 10:22:00+00:00,12941.25,12941.5,12940.0,12940.75
4556117,-248,2021-01-04 10:23:00+00:00,12940.75,12942.75,12940.5,12941.75
4556118,-247,2021-01-04 10:24:00+00:00,12942.0,12942.75,12941.25,12942.75
4556119,-246,2021-01-04 10:25:00+00:00,12942.5,12942.5,12939.75,12939.75
4556120,-245,2021-01-04 10:26:00+00:00,12940.25,12942.5,12939.75,12940.25
4556121,-244,2021-01-04 10:27:00+00:00,12940.0,12940.25,12936.75,12937.5
4556122,-243,2021-01-04 10:28:00+00:00,12937.25,12937.25,12932.25,12933.75
4556123,-242,2021-01-04 10:29:00+00:00,12933.75,12938.0,12933.0,12938.0
4556124,-241,2021-01-04 10:30:00+00:00,12937.75,12939.5,12937.0,12939.0
4556125,-240,2021-01-04 10:31:00+00:00,12938.5,12939.25,12937.0,12939.25
4556126,-239,2021-01-04 10:32:00+00:00,12939.25,12939.75,12938.25,12939.0
4556127,-238,2021-01-04 10:33:00+00:00,12939.0,12941.0,12938.75,12940.25
4556128,-237,2021-01-04 10:34:00+00:00,12940.5,12942.25,12940.5,12941.5
4556129,-236,2021-01-04 10:35:00+00:00,12941.75,12942.0,12941.25,12941.75
4556130,-235,2021-01-04 10:36:00+00:00,12941.5,12941.5,12939.75,12940.25
4556131,-234,2021-01-04 10:37:00+00:00,12940.25,12941.25,12940.0,12941.25
4556132,-233,2021-01-04 10:38:00+00:00,12941.5,12944.0,12940.75,12942.0
4556133,-232,2021-01-04 10:39:00+00:00,12942.25,12944.75,12942.25,12942.75
4556134,-231,2021-01-04 10:40:00+00:00,12943.0,12944.0,12941.5,12943.5
4556135,-230,2021-01-04 10:41:00+00:00,12943.5,12946.0,12942.25,12945.25
4556136,-229,2021-01-04 10:42:00+00:00,12945.0,12945.5,12942.5,12945.0
4556137,-228,2021-01-04 10:43:00+00:00,12945.25,12945.75,12943.75,12944.25
