day,net
2023-08-24 00:00:00-04:00,7020.0
2023-08-25 00:00:00-04:00,-3014.5750000000044
2023-08-28 00:00:00-04:00,920.0
2023-08-29 00:00:00-04:00,5645.0
2023-08-30 00:00:00-04:00,-171.3000000000102
2023-08-31 00:00:00-04:00,665.0
2023-09-01 00:00:00-04:00,1622.9249999999956
2023-09-04 00:00:00-04:00,-465.80000000001746
2023-09-05 00:00:00-04:00,-1215.600000000013
2023-09-06 00:00:00-04:00,2315.0
2023-09-07 00:00:00-04:00,-2023.4000000000015
2023-09-08 00:00:00-04:00,-153.7250000000131
2023-09-11 00:00:00-04:00,-260.40000000000873
2023-09-12 00:00:00-04:00,-2027.9249999999956
2023-09-13 00:00:00-04:00,17.150000000001455
2023-09-14 00:00:00-04:00,-1682.1250000000146
2023-09-15 00:00:00-04:00,2795.0
2023-09-18 00:00:00-04:00,616.1750000000029
2023-09-19 00:00:00-04:00,1490.0
2023-09-20 00:00:00-04:00,2617.7999999999884
2023-09-21 00:00:00-04:00,-2509.275000000016
2023-09-22 00:00:00-04:00,-1201.3999999999942
2023-09-25 00:00:00-04:00,-2019.7999999999956
2023-09-26 00:00:00-04:00,2220.0
2023-09-27 00:00:00-04:00,-500.27500000000146
2023-09-28 00:00:00-04:00,-3296.800000000003
2023-09-29 00:00:00-04:00,1000.0
2023-10-02 00:00:00-04:00,3275.0
2023-10-03 00:00:00-04:00,-813.8000000000102
2023-10-04 00:00:00-04:00,-6.925000000010186
2023-10-05 00:00:00-04:00,3685.0
2023-10-06 00:00:00-04:00,4405.0
2023-10-09 00:00:00-04:00,-90.0
2023-10-10 00:00:00-04:00,2855.0
2023-10-11 00:00:00-04:00,-1872.9000000000087
2023-10-12 00:00:00-04:00,145.0
2023-10-13 00:00:00-04:00,2190.699999999997
2023-10-16 00:00:00-04:00,2615.0
2023-10-17 00:00:00-04:00,-963.8000000000102
2023-10-18 00:00:00-04:00,750.0
2023-10-19 00:00:00-04:00,255.0
2023-10-20 00:00:00-04:00,1556.6249999999854
2023-10-23 00:00:00-04:00,-2764.125000000022
2023-10-24 00:00:00-04:00,138.1999999999971
2023-10-25 00:00:00-04:00,905.0
2023-10-26 00:00:00-04:00,-1454.0000000000146
2023-10-27 00:00:00-04:00,1000.0
2023-10-30 00:00:00-04:00,520.0
2023-10-31 00:00:00-04:00,810.0
2023-11-01 00:00:00-04:00,18.800000000010186
2023-11-02 00:00:00-04:00,-160.0
2023-11-03 00:00:00-04:00,1535.0
2023-11-06 00:00:00-05:00,625.0
2023-11-07 00:00:00-05:00,2500.0
2023-11-08 00:00:00-05:00,-774.3999999999869
2023-11-09 00:00:00-05:00,-2118.274999999994
2023-11-10 00:00:00-05:00,2910.0
2023-11-13 00:00:00-05:00,-902.599999999984
2023-11-14 00:00:00-05:00,-1617.1749999999884
2023-11-15 00:00:00-05:00,275.0
2023-11-16 00:00:00-05:00,-1154.5999999999913
