label,epoch,hour,n,unknown,mean_bp,sd_bp,m,t,mean_usd,years_pos
NQ ET,2013-2019,21,1775,781,0.47805231256879843,14.278990876521632,0.03347941858796482,1.4105129767052806,5.887323943661972,5/7
NQ ET,2013-2019,22,1776,780,0.08973420892391906,13.204012056224348,0.006795980535447823,0.2864003913304201,2.6829954954954953,4/7
NQ ET,2013-2019,23,1779,777,0.17382406869459457,9.8883998652659,0.017578584104913766,0.7414329203903374,2.2821810005621135,3/7
NQ ET,2020-2026,0,1615,701,0.7224658345275502,17.869767663636686,0.04042950351266743,1.6247429883410707,8.21671826625387,3/7
NQ ET,2020-2026,1,1614,708,0.665297759242404,17.70068725907817,0.0375859846289975,1.5100026066922585,19.95353159851301,7/7
NQ ET,2020-2026,2,1618,691,0.959164075166423,20.70370262674836,0.04632814199751986,1.863520358580701,22.713226205191596,6/7
NQ ET,2020-2026,3,1617,699,0.5557090602424564,26.564978310884445,0.02091885992674672,0.8411879094034531,20.18552875695733,5/7
NQ ET,2020-2026,4,1619,697,0.1295550165148198,24.195752500376074,0.00535445287402432,0.2154460444618524,4.0271772699197035,4/7
NQ ET,2020-2026,5,1613,703,0.19601408856766747,19.790479815056184,0.009904463681499226,0.39778476657566375,3.93366398016119,4/7
NQ ET,2020-2026,6,1614,702,0.3074656521326584,22.328840118012565,0.01376988909892491,0.5532000462001602,8.593556381660472,5/7
NQ ET,2020-2026,7,1620,696,-0.8629295514981997,24.813270499115543,-0.034776937265442634,-1.3997447239459568,-16.49074074074074,3/7
NQ ET,2020-2026,8,1619,697,0.3148321821921499,41.10115510147368,0.007659935138437548,0.30821127111169827,7.6744904261890055,6/7
NQ ET,2020-2026,9,1616,700,0.9564793100459876,49.29832145074747,0.019401863631433747,0.7799452652554322,16.525371287128714,4/7
NQ ET,2020-2026,10,1617,699,-1.4191222545045064,52.71887774572753,-0.026918673446524866,-1.0824520418268329,-61.39764996907854,2/7
NQ ET,2020-2026,11,1617,699,2.531307353414341,41.81217528223696,0.06053995842903956,2.43442908670098,73.44465058750772,6/7
NQ ET,2020-2026,12,1617,699,-0.07359369101763795,36.977710517263006,-0.001990217619970842,-0.0800305085871642,-5.695732838589981,4/7
NQ ET,2020-2026,13,1564,752,0.17369585181785135,41.90575031259564,0.0041449168794775995,0.1639208510430729,21.592071611253196,4/7
