date,status,usd,gross,n_tr,held,open,year
2016-07-07,ok,-185.0,-155.0,2.0,90.0,17835.0,2016
2016-07-08,ok,240.0,255.0,1.0,269.0,17927.0,2016
2016-07-11,ok,-155.0,-125.0,2.0,180.0,18107.0,2016
2016-07-12,ok,0.0,0.0,0.0,0.0,18225.0,2016
2016-07-13,ok,0.0,0.0,0.0,0.0,18292.0,2016
2016-07-14,ok,0.0,0.0,0.0,0.0,18425.0,2016
2016-07-15,ok,0.0,0.0,0.0,0.0,18478.0,2016
2016-07-18,ok,0.0,0.0,0.0,0.0,18428.0,2016
2016-07-19,ok,0.0,0.0,0.0,0.0,18446.0,2016
2016-07-20,ok,0.0,0.0,0.0,0.0,18532.0,2016
2016-07-21,ok,50.0,65.0,1.0,239.0,18503.0,2016
2016-07-22,ok,0.0,0.0,0.0,0.0,18450.0,2016
2016-07-25,ok,55.0,70.0,1.0,359.0,18467.0,2016
2016-07-26,ok,-395.0,-365.0,2.0,90.0,18396.0,2016
2016-07-27,ok,0.0,0.0,0.0,0.0,18453.0,2016
2016-07-28,ok,40.0,55.0,1.0,150.0,18373.0,2016
2016-07-29,ok,0.0,0.0,0.0,0.0,18329.0,2016
2016-08-01,ok,-380.0,-335.0,3.0,179.0,18367.0,2016
2016-08-02,ok,225.0,240.0,1.0,359.0,18322.0,2016
2016-08-03,ok,0.0,0.0,0.0,0.0,18230.0,2016
2016-08-04,ok,0.0,0.0,0.0,0.0,18299.0,2016
2016-08-05,ok,145.0,160.0,1.0,359.0,18380.0,2016
2016-08-08,ok,0.0,0.0,0.0,0.0,18485.0,2016
2016-08-09,ok,0.0,15.0,1.0,30.0,18480.0,2016
2016-08-10,ok,-115.0,-100.0,1.0,30.0,18474.0,2016
2016-08-11,ok,25.0,40.0,1.0,299.0,18512.0,2016
2016-08-12,ok,0.0,0.0,0.0,0.0,18544.0,2016
2016-08-15,ok,10.0,25.0,1.0,120.0,18572.0,2016
2016-08-16,ok,0.0,0.0,0.0,0.0,18545.0,2016
2016-08-17,ok,-155.0,-125.0,2.0,120.0,18503.0,2016
2016-08-18,ok,0.0,0.0,0.0,0.0,18537.0,2016
2016-08-19,ok,-295.0,-280.0,1.0,30.0,18519.0,2016
