id,instrument,k,entry,horizon,kind,decisions,trades,trade_days,known_days,frequency_2020,total,gross,mean_trade,max_dd,win_rate,median_hold,optimistic_total,net_before_2020,net_2020,target
YM_k5_stop_h30_confined,YM,5,stop,30,breakout,3447,1253,1004,4895,0.1592520954223082,-27895.0,-9100.0,-22.262569832402235,27900.0,0.2601755786113328,13.0,-27895.0,-22770.0,-5125.0,
YM_k5_close_h5_confined,YM,5,close,5,breakout,738,658,579,4895,0.09800128949065119,-12005.0,-2135.0,-18.24468085106383,12295.0,0.3252279635258359,5.0,-12005.0,-8450.0,-3555.0,
YM_k5_close_h15_confined,YM,5,close,15,breakout,738,652,579,4895,0.09800128949065119,-12235.0,-2455.0,-18.765337423312882,12305.0,0.3343558282208589,15.0,-12235.0,-9830.0,-2405.0,
YM_k5_close_h30_confined,YM,5,close,30,breakout,738,647,579,4895,0.09800128949065119,-13635.0,-3930.0,-21.0741885625966,14080.0,0.3075734157650695,18.0,-13635.0,-11145.0,-2490.0,
YM_k3_reject_target_h5_confined,YM,3,,5,reject,10894,9380,3087,4895,0.6576402321083172,-156775.0,-16075.0,-16.713752665245202,156800.0,0.2995735607675906,2.0,-149710.0,-98625.0,-58150.0,True
YM_k3_reject_target_h15_confined,YM,3,,15,reject,10894,9311,3087,4895,0.6576402321083172,-157600.0,-17935.0,-16.926216303297174,157730.0,0.3072709698206422,2.0,-150575.0,-99150.0,-58450.0,True
YM_k3_reject_target_h30_confined,YM,3,,30,reject,10894,9308,3087,4895,0.6576402321083172,-158075.0,-18455.0,-16.982703051138806,158205.0,0.3076923076923077,2.0,-151050.0,-99445.0,-58630.0,True
YM_k3_reject_time_h5_confined,YM,3,,5,reject,10894,9062,3094,4895,0.6582849774339136,-142605.0,-6675.0,-15.73659236371662,142630.0,0.24553078790553962,3.0,-142605.0,-87085.0,-55520.0,False
YM_k3_reject_time_h15_confined,YM,3,,15,reject,10894,8581,3094,4895,0.6582849774339136,-132290.0,-3575.0,-15.416618109777415,132365.0,0.1842442605756905,3.0,-132290.0,-85090.0,-47200.0,False
YM_k3_reject_time_h30_confined,YM,3,,30,reject,10894,8315,3094,4895,0.6582849774339136,-125520.0,-795.0,-15.095610342754059,125635.0,0.14167167769092,3.0,-125520.0,-88695.0,-36825.0,False
YM_k5_reject_target_h5_confined,YM,5,,5,reject,616,549,467,4895,0.06834300451321727,-9600.0,-1365.0,-17.48633879781421,9610.0,0.2586520947176685,2.0,-9365.0,-7455.0,-2145.0,True
YM_k5_reject_target_h15_confined,YM,5,,15,reject,616,549,467,4895,0.06834300451321727,-9530.0,-1295.0,-17.358834244080146,9540.0,0.273224043715847,2.0,-9295.0,-7665.0,-1865.0,True
YM_k5_reject_target_h30_confined,YM,5,,30,reject,616,549,467,4895,0.06834300451321727,-9425.0,-1190.0,-17.16757741347905,9435.0,0.273224043715847,2.0,-9190.0,-7560.0,-1865.0,True
YM_k5_reject_time_h5_confined,YM,5,,5,reject,616,537,468,4895,0.06898774983881367,-7175.0,880.0,-13.361266294227189,7880.0,0.2532588454376164,3.0,-7175.0,-6345.0,-830.0,False
YM_k5_reject_time_h15_confined,YM,5,,15,reject,616,535,468,4895,0.06898774983881367,-6780.0,1245.0,-12.672897196261681,7880.0,0.19626168224299065,3.0,-6780.0,-6030.0,-750.0,False
YM_k5_reject_time_h30_confined,YM,5,,30,reject,616,534,468,4895,0.06898774983881367,-5565.0,2445.0,-10.42134831460674,6835.0,0.15917602996254682,3.0,-5565.0,-5440.0,-125.0,False
