date,year,world,oid,label,resolved,day_pnl,minutes_since_open,risk_points,day_range_rel
20140124,2014,take,20140124:PV2:-1:603,-4.5,True,-19.75,33.0,3.25,0.8341232227488151
20140124,2014,defer,20140124:PV2:-1:603,-4.5,True,0.0,33.0,3.25,0.8341232227488151
20140203,2014,take,20140203:PV2:-1:606,-2.75,True,-19.75,36.0,1.25,1.2432432432432432
20140203,2014,defer,20140203:PV2:-1:606,-2.75,True,0.0,36.0,1.25,1.2432432432432432
20140206,2014,defer,20140206:PV2:+1:608,-3.0,True,0.0,38.0,1.75,0.9076305220883534
20140210,2014,defer,20140210:PV2:+1:603,-4.0,True,0.0,33.0,3.0,0.5891472868217055
20140213,2014,defer,20140213:PV2:+1:659,-2.75,True,0.0,89.0,1.5,1.3458646616541354
20140224,2014,defer,20140224:PV2:+1:610,11.0,True,0.0,40.0,1.5,0.7209302325581395
20140225,2014,defer,20140225:PV2:-1:613,-4.0,True,0.0,43.0,3.0,0.7364341085271318
20140228,2014,defer,20140228:PV2:+1:611,-3.0,True,0.0,41.0,1.5,0.6616541353383458
20140228,2014,take,20140228:PV2:-1:906,-6.25,True,12.0,336.0,5.0,1.481203007518797
20140228,2014,defer,20140228:PV2:-1:906,-6.25,True,-3.0,336.0,5.0,1.481203007518797
20140307,2014,defer,20140307:PV2:-1:608,-4.0,True,0.0,38.0,2.75,1.3580246913580247
20140311,2014,take,20140311:PV2:-1:880,-2.5,True,3.5,310.0,1.25,1.2263374485596708
20140311,2014,defer,20140311:PV2:-1:880,-2.5,True,0.0,310.0,1.25,1.2263374485596708
20140317,2014,defer,20140317:PV2:+1:608,-2.0,True,0.0,38.0,0.75,0.9343629343629344
20140318,2014,defer,20140318:PV2:+1:605,-2.75,True,0.0,35.0,1.5,0.694980694980695
20140328,2014,take,20140328:PV2:+1:607,-3.75,True,-19.75,37.0,2.75,0.7513513513513513
20140328,2014,defer,20140328:PV2:+1:607,-3.75,True,0.0,37.0,2.75,0.7513513513513513
20140331,2014,defer,20140331:PV2:+1:608,-2.5,True,0.0,38.0,1.25,0.572972972972973
20140401,2014,defer,20140401:PV2:+1:606,-3.25,True,0.0,36.0,2.0,0.7621621621621621
20140403,2014,take,20140403:PV2:-1:745,7.25,True,15.25,175.0,2.5,0.78125
20140403,2014,defer,20140403:PV2:-1:745,7.25,True,0.0,175.0,2.5,0.78125
20140410,2014,defer,20140410:PV2:-1:602,-2.75,True,0.0,32.0,1.0,0.6583541147132169
20140423,2014,defer,20140423:PV2:-1:608,-2.75,True,0.0,38.0,1.25,0.5920398009950248
20140506,2014,take,20140506:PV2:-1:829,-2.75,True,-13.25,259.0,1.25,0.7248677248677249
20140506,2014,defer,20140506:PV2:-1:829,-2.75,True,0.0,259.0,1.25,0.7248677248677249
20140507,2014,take,20140507:PV2:-1:607,-2.75,True,-19.75,37.0,13.0,0.85
20140507,2014,defer,20140507:PV2:-1:607,-2.75,True,0.0,37.0,13.0,0.85
20140508,2014,take,20140508:PV2:+1:619,-3.5,True,-19.75,49.0,2.25,1.1283422459893049
20140508,2014,defer,20140508:PV2:+1:619,-3.5,True,0.0,49.0,2.25,1.1283422459893049
20140512,2014,defer,20140512:PV2:+1:605,6.0,True,0.0,35.0,2.25,0.5955056179775281
20140515,2014,defer,20140515:PV2:-1:604,15.5,True,0.0,34.0,8.75,0.8674698795180723
20140519,2014,defer,20140519:PV2:+1:680,-2.25,True,0.0,110.0,1.0,1.0388059701492538
20140520,2014,take,20140520:PV2:-1:827,-2.25,True,-4.0,257.0,0.75,0.8901734104046243
