id,instrument,k,wait,horizon,stop,signals,no_entry,conflicts,unknown_outcomes,excluded_days,days,trades,total,mean_day,mean_trade,win_rate,max_drawdown,median_minutes
NQ_k3_w30_h60_swing,NQ,3,30,60,swing,4455,106,0,4,149,4966,4281,-149860.0,-30.17720499395892,-35.005839757066106,0.3342676944639103,154580.0,35.0
NQ_k3_w30_h60_time,NQ,3,30,60,time,4455,106,0,9,149,4966,4281,-232275.0,-46.773056786145794,-54.257182901191314,0.4543330997430507,235065.0,60.0
NQ_k3_w30_h120_swing,NQ,3,30,120,swing,4455,106,0,8,149,4966,4281,-154440.0,-31.099476439790575,-36.075683251576734,0.2908199018920813,164200.0,35.0
NQ_k3_w30_h120_time,NQ,3,30,120,time,4455,106,0,19,149,4966,4281,-226430.0,-45.59605316149819,-52.89184769913572,0.47465545433309975,242235.0,120.0
NQ_k3_w60_h15_swing,NQ,3,60,15,swing,4584,115,0,1,149,4966,4395,-118940.0,-23.950865888038663,-27.062571103526736,0.3993174061433447,126120.0,15.0
NQ_k3_w60_h15_time,NQ,3,60,15,time,4584,115,0,2,149,4966,4395,-131800.0,-26.540475231574707,-29.988623435722413,0.43617747440273036,132175.0,15.0
NQ_k3_w60_h30_swing,NQ,3,60,30,swing,4584,115,0,2,149,4966,4395,-128685.0,-25.913209826822392,-29.27986348122867,0.38361774744027305,135870.0,30.0
NQ_k3_w60_h30_time,NQ,3,60,30,time,4584,115,0,5,149,4966,4395,-179550.0,-36.15585984695932,-40.85324232081911,0.44755403868031857,179680.0,30.0
NQ_k3_w60_h60_swing,NQ,3,60,60,swing,4584,115,0,5,149,4966,4395,-161980.0,-32.617801047120416,-36.85551763367463,0.34152445961319683,174555.0,40.0
NQ_k3_w60_h60_time,NQ,3,60,60,time,4584,115,0,10,149,4966,4395,-235670.0,-47.456705598066854,-53.622298065984076,0.4534698521046644,241380.0,60.0
NQ_k3_w60_h120_swing,NQ,3,60,120,swing,4584,115,0,9,149,4966,4395,-151205.0,-30.448046717680224,-34.40386803185438,0.29783845278725823,171640.0,40.0
NQ_k3_w60_h120_time,NQ,3,60,120,time,4584,115,0,19,149,4966,4395,-219165.0,-44.133105114780506,-49.86689419795222,0.46871444823663255,252870.0,120.0
NQ_k4_w10_h15_swing,NQ,4,10,15,swing,2705,22,0,1,149,4966,2639,-87125.0,-17.54430124848973,-33.01439939370974,0.41530882910193256,87230.0,15.0
NQ_k4_w10_h15_time,NQ,4,10,15,time,2705,22,0,1,149,4966,2639,-97385.0,-19.61035038260169,-36.902235695339144,0.44372868510799546,97410.0,15.0
NQ_k4_w10_h30_swing,NQ,4,10,30,swing,2705,22,0,2,149,4966,2639,-92755.0,-18.67801047120419,-35.14778325123153,0.38992042440318303,93170.0,30.0
NQ_k4_w10_h30_time,NQ,4,10,30,time,2705,22,0,3,149,4966,2639,-93810.0,-18.890455094643578,-35.54755589238348,0.45471769609700646,93875.0,30.0
NQ_k4_w10_h60_swing,NQ,4,10,60,swing,2705,22,0,3,149,4966,2639,-107300.0,-21.606927104309303,-40.65934065934066,0.341417203486169,119580.0,38.0
NQ_k4_w10_h60_time,NQ,4,10,60,time,2705,22,0,4,149,4966,2639,-125490.0,-25.26983487716472,-47.55210306934445,0.460401667298219,127755.0,60.0
NQ_k4_w10_h120_swing,NQ,4,10,120,swing,2705,22,0,4,149,4966,2639,-104240.0,-20.99073701167942,-39.499810534293296,0.29442970822281167,121865.0,38.0
NQ_k4_w10_h120_time,NQ,4,10,120,time,2705,22,0,11,149,4966,2639,-148890.0,-29.981876761981475,-56.41909814323608,0.46798029556650245,173780.0,120.0
NQ_k4_w30_h15_swing,NQ,4,30,15,swing,3685,57,0,1,149,4966,3571,-79365.0,-15.981675392670157,-22.224866984038083,0.4222906748809857,80765.0,15.0
NQ_k4_w30_h15_time,NQ,4,30,15,time,3685,57,0,1,149,4966,3571,-92810.0,-18.68908578332662,-25.98991879025483,0.44049285914309716,92940.0,15.0
NQ_k4_w30_h30_swing,NQ,4,30,30,swing,3685,57,0,2,149,4966,3571,-123945.0,-24.958719291180024,-34.70876505180622,0.409129095491459,124180.0,30.0
NQ_k4_w30_h30_time,NQ,4,30,30,time,3685,57,0,3,149,4966,3571,-139355.0,-28.061820378574307,-39.0240828899468,0.45477457294875384,139590.0,30.0
NQ_k4_w30_h60_swing,NQ,4,30,60,swing,3685,57,0,4,149,4966,3571,-163905.0,-33.00543697140556,-45.89890786894427,0.36068328199383926,166745.0,51.0
NQ_k4_w30_h60_time,NQ,4,30,60,time,3685,57,0,6,149,4966,3571,-215600.0,-43.41522351993556,-60.37524502940353,0.45085410249229907,215775.0,60.0
NQ_k4_w30_h120_swing,NQ,4,30,120,swing,3685,57,0,5,149,4966,3571,-178635.0,-35.97160692710431,-50.02380285634276,0.3113973676841221,190195.0,51.0
NQ_k4_w30_h120_time,NQ,4,30,120,time,3685,57,0,12,149,4966,3571,-195585.0,-39.3848167539267,-54.770372444693365,0.45981517782133857,198905.0,120.0
NQ_k4_w60_h15_swing,NQ,4,60,15,swing,4022,68,0,1,149,4966,3893,-96295.0,-19.39085783326621,-24.735422553300797,0.417159003339327,98845.0,15.0
NQ_k4_w60_h15_time,NQ,4,60,15,time,4022,68,0,1,149,4966,3893,-108975.0,-21.944220700765204,-27.992550732083227,0.43282815309529926,109790.0,15.0
NQ_k4_w60_h30_swing,NQ,4,60,30,swing,4022,68,0,2,149,4966,3893,-135595.0,-27.304671768022555,-34.83046493706653,0.4117647058823529,135705.0,30.0
NQ_k4_w60_h30_time,NQ,4,60,30,time,4022,68,0,3,149,4966,3893,-153430.0,-30.896093435360452,-39.411764705882355,0.4492679167736964,153430.0,30.0
NQ_k4_w60_h60_swing,NQ,4,60,60,swing,4022,68,0,4,149,4966,3893,-169320.0,-34.09585179218687,-43.493449781659386,0.371435910608785,176760.0,60.0
NQ_k4_w60_h60_time,NQ,4,60,60,time,4022,68,0,6,149,4966,3893,-220230.0,-44.347563431333064,-56.57076804520935,0.44875417415874647,221920.0,60.0
NQ_k4_w60_h120_swing,NQ,4,60,120,swing,4022,68,0,6,149,4966,3893,-179480.0,-36.14176399516714,-46.10326226560493,0.32648343180066786,196610.0,62.0
NQ_k4_w60_h120_time,NQ,4,60,120,time,4022,68,0,14,149,4966,3893,-214995.0,-43.2933950865888,-55.22604675057796,0.45697405599794505,231100.0,120.0
YM_k2_w10_h15_swing,YM,2,10,15,swing,4535,178,0,3,220,4895,4218,-65500.0,-13.38100102145046,-15.52868658131816,0.37339971550497864,67840.0,15.0
YM_k2_w10_h15_time,YM,2,10,15,time,4535,177,0,7,220,4895,4218,-61050.0,-12.47191011235955,-14.473684210526315,0.439307728781413,65870.0,15.0
YM_k2_w10_h30_swing,YM,2,10,30,swing,4535,178,0,6,220,4895,4218,-50865.0,-10.391215526046986,-12.059032716927454,0.32906590801327645,66545.0,19.0
YM_k2_w10_h30_time,YM,2,10,30,time,4535,176,0,14,220,4895,4218,-55485.0,-11.335035750766087,-13.15433854907539,0.45614035087719296,68475.0,30.0
YM_k2_w10_h60_swing,YM,2,10,60,swing,4535,178,0,11,220,4895,4218,-52490.0,-10.723186925434117,-12.444286391654813,0.2833096254148886,62190.0,19.0
YM_k2_w10_h60_time,YM,2,10,60,time,4535,176,0,22,220,4895,4218,-67025.0,-13.692543411644536,-15.890232337600759,0.47083926031294454,70835.0,60.0
YM_k2_w10_h120_swing,YM,2,10,120,swing,4535,178,0,14,220,4895,4218,-81220.0,-16.59244126659857,-19.25557136083452,0.22972972972972974,83735.0,19.0
YM_k2_w10_h120_time,YM,2,10,120,time,4535,174,0,34,220,4895,4218,-108030.0,-22.069458631256385,-25.61166429587482,0.46301564722617355,124605.0,120.0
YM_k2_w30_h15_swing,YM,2,30,15,swing,4704,201,0,4,220,4895,4357,-67955.0,-13.882533197139939,-15.596740876750058,0.3787009410144595,72040.0,15.0
YM_k2_w30_h15_time,YM,2,30,15,time,4704,200,0,8,220,4895,4357,-66900.0,-13.667007150153218,-15.354601790222631,0.43355519853109936,74625.0,15.0
YM_k2_w30_h30_swing,YM,2,30,30,swing,4704,201,0,7,220,4895,4357,-52980.0,-10.823289070480081,-12.159742942391555,0.33899472113839796,74550.0,23.0
YM_k2_w30_h30_time,YM,2,30,30,time,4704,199,0,15,220,4895,4357,-58660.0,-11.983656792645556,-13.463392242368602,0.4512279091117742,80380.0,30.0
YM_k2_w30_h60_swing,YM,2,30,60,swing,4704,201,0,13,220,4895,4357,-59680.0,-12.19203268641471,-13.697498278632086,0.2949277025476245,76565.0,23.0
YM_k2_w30_h60_time,YM,2,30,60,time,4704,199,0,25,220,4895,4357,-85380.0,-17.44228804902962,-19.596052329584577,0.46431030525591005,97515.0,60.0
YM_k2_w30_h120_swing,YM,2,30,120,swing,4704,201,0,17,220,4895,4357,-92355.0,-18.86721144024515,-21.196924489327518,0.24328666513656186,98175.0,23.0
